UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,OriginalTweetClean,PredictedSentiment,PredictedSentimentNB,PredictedSentimentRF
932,45884,,12-03-2020,"@AHARMumbai Many hotels in Mumbai r usin diluted liquid soap, detergent powder etc as substitute 2 undiluted liquid soap. Is it 2 much 2 ask 4 good hygiene practices,as a consumer, in #COVID2019 in densely populated metro like Mumbai? Cost cutting at what",Positive,hotel mumbai usin dilute liquid soap detergent powder etc substitute undiluted liquid soap ask good hygiene practicesas consumer densely populated metro like mumbai cost cutting,0,0,0
933,45885,"California, USA",12-03-2020,Yet we supermarket employees still have to go to work. Helloooo....?? What about US? #Covid_19,Neutral,supermarket employee work helloooo,1,1,1
934,45886,"Ohio, USA",12-03-2020,"I just returned from the grocery store.  Shelves are half-empty, no toilet paper, no ground beef, no cleaning supplies and lines to the middle of the aisles with all registers open.  
This is going to get nuts. 
#Covid_19 #CoronaVirusUpdate #CoronavirusPandemic",Extremely Negative,return grocery store shelf halfempty no toilet paper no ground beef no cleaning supply line middle aisle register open go nut,2,2,2
935,45887,,12-03-2020,"#Covid_19   
In Turkey  , food prices increased by 100% :(  ...
virus outbreak unknown.  
no clear information is provided by the authorities",Positive,turkey food price increase virus outbreak unknown no clear information provide authority,0,0,0
936,45888,marrakech,12-03-2020,"Dear #StockMarketCrash2020 did you know that in the real world the markets don't crash when there are no buyers? They just close  for a while to control the prices and avoid a disaster, Specially when it's anticipated #Covid_19 #CoronavirusPandemic #?????_?????? #lockdown",Extremely Negative,dear know real world market do not crash no buyer close control price avoid disaster specially anticipate,2,2,2
937,45889,,12-03-2020,Popped into the supermarket earlier......... should I be stock piling ?  I feel Im missing out.. #Covid_19 #peerpressure #CoronavirusOutbreak https://t.co/HZYmX58Oja,Negative,pop supermarket early stock piling feel miss,0,0,0
938,45890,"South West, England",12-03-2020,"Watching @BorisJohnson talk about people staying at home with symptoms....I got served today by someone in a supermarket who did not stop coughing...people could hear it, his managers must have heard him?? People WONT stay at home unless forced too! People need money! #Covid_19",Negative,watch talk people stay home symptomsi got serve today supermarket not stop coughingpeople hear manager hear people will not stay home force people need money,0,0,0
939,45891,"Bend, OR",12-03-2020,Im seriously so confused like should I stock up on food today? Are we going into lockdown? Someone plz explain #Covid_19,Negative,seriously confuse like stock food today go lockdown plz explain,0,0,0
940,45892,"Donegal, Ireland",12-03-2020,"All of Ireland on lockdown, all school/collage closed from today, everyone panic buying, all supermarket shelfs empty, &amp; im not one bit worried bout any of it #Covid_19 #CancelEverything ????",Negative,ireland lockdown schoolcollage close today panic buying supermarket shelfs I m not bit worried bout,2,2,2
941,45893,chi ?,12-03-2020,"THINGS TO TALK ABOUT BESIDES COVID-19:
-the weather
-drinking for St patties 
-ur online shopping problem
-the book ur reading
-fav song at the moment
-where i should get lunch",Positive,thing talk weather drink st patty ur online shopping problem book ur read fav song moment lunch,2,2,2
942,45894,NY,12-03-2020,"Hey everybody lower gas prices are like a tax cut! - the dumbest man on earth.

Chew on that, oh wait you cant its poison, greed, hate.

#Covid_19 #CoronavirusPandemic",Extremely Negative,hey everybody low gas price like tax cut dumb man earth chew oh wait poison greed hate,2,2,2
943,45895,"Bristol, England",12-03-2020,#Covid_19 just think if the UK closed the schools how many kids would go with out food as the meal in school is the only one they get as family's can't afford food. Or school is the only escape from domestic abuse at home? While the virus is still slow in the UK lets not panic,Negative,think uk closed school kid food meal school family can not afford food school escape domestic abuse home virus slow uk let not panic,2,2,2
944,45896,One place roun a one part,12-03-2020,"Wholesale and supermarket owners in Jamaica rn:
#CoronaOutbreak #Covid_19 #Jamaica https://t.co/ZCVoABAP7j",Neutral,wholesale supermarket owner jamaica rn,1,1,1
945,45897,,12-03-2020,"Grocery store lines literally wrapping around a giant Superstore in Windsor, On, Canada this afternoon - @pandemicparty   #Covid_19 https://t.co/Pghd0Qfea3  https://t.co/Mgc66JbFck",Neutral,grocery store line literally wrap giant superstore windsor canada afternoon,1,1,1
946,45898,"Wroc?aw, Polska",12-03-2020,"Is #Poland getting crazy and everyone thinks that @MorawieckiM will close every grocery store in coming days? I thought that the panic is a viral joke, yet I saw today its not. #Covid_19",Negative,get crazy think close grocery store come day think panic viral joke see today not,2,2,2
947,45899,"Las Vegas, NV",12-03-2020,@Second_Son_da_G Lol Hoarding toilet paper like its food!? #Covid_19 is resetting some incomes for sure. Stock market hitting pockets &amp; balancing scales. Thing about living in poverty is you can't fall much further so this won't hurt so much it's the ,Extremely Positive,lol hoarding toilet paper like food reset income sure stock market hit pocket balance scale thing live poverty can not fall will not hurt,0,0,0
948,45900,,12-03-2020,"Facts:
1.Stock Market plunged by 3000 points only yesterday.
2.A failed agreement between Saudi Arabia and Russia caused the global oil prices to plunge 30%.
3.Prices hit record low and a recession is predicted.  #CoronavirusPandemic  #Covid_19  #lockdown  #coronavirus  #Corona",Extremely Negative,fact market plunge point yesterday fail agreement saudi arabia russia cause global oil price plunge hit record low recession predict,2,2,2
949,45901,Dubai,12-03-2020,Catch me online shopping during this Covid-19 season,Neutral,catch online shopping season,1,1,1
950,45902,,12-03-2020,@RepSusanDavis @CDCgov Get us more test kits and start reporting accurate numbers! The community believes we have one case here - we havent tested enough. People have it and are already affecting San Diego! The grocery store today sounded like an infirm,Positive,test kit start report accurate number community believe case haven test people affect san diego grocery store today sound like infirm,0,0,0
951,45903,"Sheffield, England",12-03-2020,So I went to do my groceries today (post-nights) cause I genuinely have no food at home. Literally thought that therell be less people at supermarket as it is working hours. Little did I know that I was wrong #Covid_19,Extremely Negative,go grocery today postnight cause genuinely no food home literally think ll people supermarket work hour little know wrong,2,2,2
952,45904,VA,12-03-2020,Bought to go the grocery store ? wish me luck. #Covid_19 https://t.co/Q8G7uphMpW,Extremely Positive,buy grocery store wish luck,0,0,0
953,45905,,12-03-2020,"Victorias health department is advising anyone who might have coronavirus to prepare to stock up on essential items from the supermarket. #covid19australia #Covid_19 #COVID?19 #COVID19 #coronavirus #CoronaOutbreak #CoronavirusPandemic 

https://t.co/BMf8JIvKBZ",Neutral,victoria health department advise coronavirus prepare stock essential item supermarket,1,1,1
954,45906,"Longford, Dublin",12-03-2020,Does everybody feel compelled to share their supermarket empty shelves stories? I think at this stage we get it #Covid_19,Positive,everybody feel compel share supermarket shelf story think stage,0,0,0
955,45907,OK ? TX ? IN,12-03-2020,"I hope your grannys nurse doesnt end up at the grocery store behind the 25 year olds saying coronavirus cant get me, so im still traveling everywhere. #CancelEverything #CoronaOutbreak #Covid_19",Positive,hope granny nurse doesn end grocery store year old say coronavirus travel,0,0,0
956,45908,Italy,12-03-2020,"it's really weird to go to the supermarket, have to wait in line to get in and then you see people wearing masks and gloves ??

it looks like the beginning of the apocalypse #Covid_19 https://t.co/r8IGT57dAN",Positive,weird supermarket wait line people wear mask glove look like begin apocalypse,0,0,0
957,45909,"Hamburg, Germany",12-03-2020,#CoronavirusPandemic  will help online grocery shopping break through in germany - no free delivery slots in the next two weeks in my area @REWE_Supermarkt  #disruption #ecommerce #delivery #Covid_19 https://t.co/SVaxCWymys,Positive,help online grocery shopping break germany no free delivery slot week area,0,0,0
958,45910,,12-03-2020,Russia dropping oil prices to screw up U.S. drilling &amp; fracking.  China dumps WuFlu on U.S.  All in hopes to dismantle our economy!  Do not forget trump said its better to deal with us before elections than after! Bad for xi n china! #coronavirus #Covid_19 #Trump #Trump2020 https://t.co/9TwZ40iXyy,Negative,russia drop oil price screw drilling fracke china dump wuflu hope dismantle economy not forget trump say well deal election bad xi china,2,2,2
959,45911,,12-03-2020,"Europe travel ban, tv series stopping filming, NBA suspending it's season #Corona #CoronaVirus #CoronaVirusOutbreak - idk i made light of people going crazy at the grocery store, I'm starting to think, im gonna stock up on food (not toilet paper tho, least not bad like them)",Extremely Negative,europe travel ban tv series stop film nba suspend season idk light people go crazy grocery store I m start think I m go to stock food not toilet paper tho not bad like,2,2,2
960,45912,Jeonghan is so majestic?,12-03-2020,"PH peeps~

Nag-announce si duterte about sa possible lockdown daw ng mga provinces if there is atleast two confirmed cases of covid-19  and class suspensions until April 12 :'00

I'm not 100% sure about this but as much as possible stock some food and supplies incase...",Negative,ph peeps nagannounce si duterte sa possible lockdown daw ng mga province atleast confirm case class suspension april I m not sure possible stock food supply incase,0,0,0
961,45913,#worldwide ,13-03-2020,"I just went to grocery store for a bagel in greater L.A. area  &amp; the lines were VERY LONG ..shelves emptying quickly. People are PANIC buying &amp; hoarding. Some with 2 full carts. #coronapocalypse #coronaCrazy
#coronavirus #COVID2019 https://t.co/JZAI0bEYz7",Extremely Negative,go grocery store bagel great la area line long shelf empty quickly people panic buying hoarding cart,2,2,2
962,45914,North East. England ,13-03-2020,The economic social amp emotional impact of 19uk on the UK can be disastrous especially for small independent micro business owners If you re out shopping eating drinking please choose indie over chains amp if you re at home please order from them online  ,Positive,economic social amp emotional impact uk disastrous especially small independent micro business owner shop eat drinking choose indie chain amp home order online,0,0,0
963,45915,SoCal,13-03-2020,"#PSA for #CoronaVirus
If you can't find wipes, TP or hand sanitizer at your local grocery store... Try your lil local corner liquor stores. They won't have as much, but ppl aren't typically going there to buy, so u can find some.",Positive,can not find wipe tp hand sanitizer local grocery store try lil local corner liquor store will not ppl be not typically go buy find,0,0,0
964,45916,Springfield ,13-03-2020,Been one of the earliest ones to be tweeting and alerting what will go down and how . People are still in denial mode. Its too late to prepare on many aspects. I would tell people to stock food. This wont go away without burning through 60% population #Covid_19 #WuhanVirus https://t.co/2piLJpvbK2,Extremely Positive,early one tweet alert people denial mode late prepare aspect tell people stock food win away burn population,0,0,0
965,45917,London & Lahore,13-03-2020,"Day 1:
I have self-quarantined myself with enough supplies of food &amp; water to last for weeks or may b months without having to interact with anyone outside and wait until this pandemic #Covid_19 is over

Day 1 + 30 mins:
I am at local grocery store because i was craving snickers.",Neutral,day selfquarantined supply food water week month having interact outside wait pandemic day min local grocery store craving snicker,0,0,0
966,45918,"Addis Ababa,Ethiopa",13-03-2020,"We don't need to panic, and just so you understand if you stoking you need at least 30 days worth food, sanitary materials and medicine. 

Save the resources for other too. If everyone is not safe, nobody is safe.
#COVID_19ET #Ethiopia #CoronainEthiopia 

Pic: Bole,now. https://t.co/CemKlsDK8v",Negative,do not need panic understand stoke need day worth food sanitary material medicine save resource not safe safe pic bolenow,0,0,0
967,45919,?????,13-03-2020,Call now 202 224 3121 and demand Congress pass the bill   Free testing   14 days paid sick leave   3 months paid family leave   Expanded unemployment insurance and food security   Medicaid funds,Negative,demand congress pass bill free testing day pay sick leave month pay family leave expand unemployment insurance food security medicaid fund,2,2,2
968,45920,,13-03-2020,About to head to the grocery store(because I do every Friday and actually need stuff) and I'm kinda scared.  #Covid_19,Negative,head grocery storebecause friday actually need stuff I m kinda scared,1,1,1
969,45921,North Shore of Boston ,13-03-2020,None of these fuckers have been in a superstore or grocery store #Covid_19,Positive,fucker superstore grocery store,1,1,1
970,45922,#Hartford #Connecticut ,13-03-2020,"With the #CoronavirusPandemic this is going to be a bad couple of weeks for People w/? Anxiety&amp;those that are Germaphobes..Just trying to go to the Supermarket will be HELL&amp;fury!.?????
#Covid_19 #CoronaOutbreak",Extremely Negative,go bad couple week people anxietythose germaphobesjust try supermarket hellfury,2,2,2
971,45923,,13-03-2020,"Is it just me, or has anyone else noticed that petrol and diesel prices have dropped since the Coronavirus outbreak? Or am I missing another reason? #Covid_19",Negative,noticed petrol diesel price drop coronavirus outbreak miss reason,2,2,2
972,45924,,13-03-2020,Absolutely outrageous to hear that some companies are preying on people s fears during such hard times by hiking up the price of hand sanitiser and soap  If you have a stock at home please consider giving some to your local food bank ,Positive,absolutely outrageous hear company prey people fear hard time hike price hand sanitiser soap stock home consider give local food bank,0,0,0
973,45925,,13-03-2020,"2/ Apparently someone left a delivery note asking to knock on the door, leave the food outside the door and just leave. Some people are really in full on #Covid_19 panic mode",Negative,apparently leave delivery note ask knock door leave food outside door leave people panic mode,2,2,2
974,45926,"Las Vegas, NV",13-03-2020,Imagine what's going to happen to consumer credit w/hundreds of millions of american card holders furloughed with #coronavirus choosing between your credit card bill and the last mask or last 25 lb bag of rice is going to be an easy and reflexive choice for consumers.,Extremely Positive,imagine what s go happen consumer credit whundred million american card holder furlough choose credit card bill mask lb bag rice go easy reflexive choice consumer,0,0,0
975,45927,"Earth, Third Planet from the Sun",13-03-2020,"@GovernorLittle @WhiteHouse How many Idahoans tested to date? How many new test kits will we see ea. week? Hi-risk people w exposure &amp; symptoms are dismissed by CDH staff reading from a script. So. Korea tests 10,000/day; more than total U.S. to date.",Negative,idahoan test date new test kit ea week hirisk people exposure symptom dismiss cdh staff read script korea test total date,0,0,0
976,45928,"Los Angeles, CA",13-03-2020,"I'm selling E-Toilet Paper.
Hit me up on the DM's for prices
#Covid_19 #toiletpapercrisis",Neutral,I m sell etoilet paper hit dms price,1,1,1
977,45929,"East Midlands, England",13-03-2020,"so I work in retail [at a book+gift store] and im really hoping our sales are down. I'm hoping people aren't pretending covid-19 isnt a thing, that it isnt important. i think me having to go to work is unnecessary and even if i ended up sick i couldn't stay home [1/4]",Extremely Positive,work retail bookgift store I m hope sale I m hope people be not pretend be not thing be not important think have work unnecessary end sick could not stay home,0,0,0
978,45930,,13-03-2020,"Co, ro, and na coming together to lower gas prices, close down schools, cause state of emergencies, and be the main topic of discussion #Covid_19 #coronavirus https://t.co/S0tUDiF00e",Negative,co ro na come low gas price close school cause state emergency main topic discussion,2,2,2
979,45931,LA/LDN/DC,13-03-2020,"shout out to the man in front of me at the grocery store getting his version of coronavirus provisions: 10 bottles of wine, three frozen pizzas, a giant bag of M&amp;Ms, big bag of chips, cigarettes, and a BIG pack of condoms

#coronavirus #COVID2019 #endtimes",Neutral,shout man grocery store get version coronavirus provision bottle wine frozen pizza giant bag mms big bag chip cigarette big pack condom,0,0,0
980,45932,,13-03-2020,mixed Advice Stock up on food amp essentials for 3mths Take cash out of banks banks will soon shutdown Have alternative currency ei Bitcoin XRP or physical gold silver Follow high amp on Twitter n Youtube for latest news Get Vitamin C amp Chaga,Positive,mixed advice stock food amp essential cash bank bank soon shutdown alternative currency ei bitcoin xrp physical gold silver follow high amp twitter youtube late news vitamin amp chaga,0,0,0
981,45933,flagstaff ,13-03-2020,"Grocery stores out of food so, if i eated soap. I dont eat it bc i did. No i didnt #Covid_19",Negative,grocery store food eat soap don eat bc no didn,2,2,2
982,45934,"Toronto, Ontario",13-03-2020,"Jesus Christ. 

Can y'all leave me some goddamned food and shit tickets until I can get to the grocery store tonight?!? ?????

#CoronavirusPandemic #Covid_19 #coronavirus",Extremely Negative,jesus christ you all leave goddamne food shit ticket grocery store tonight,2,2,2
983,45935,Portsmouth ,13-03-2020,My opinion I am mad as hell The and has easily panicked the whole world over a flu We are being held hostage by intense propaganda pushed for their agenda Schools closed Events cancelled Stock market declined Toilet paper food shortages Etc,Extremely Negative,opinion mad hell easily panic world flu hold hostage intense propaganda push agenda school close event cancel stock market decline toilet paper food shortage etc,2,2,2
984,45936,he/him,13-03-2020,"Please leave this poor retail worker alone ?
I wish we could put up a list of the items that are out of stock on the front doors
And people give me looks when I tell them we get truck only once a week. Stop that. We are just a low-volume office supply store! #covid_19",Negative,leave poor retail worker wish list item stock door people look tell truck week stop lowvolume office supply store,2,2,2
985,45937,United States,13-03-2020,"California has prices have dropped and if you use Safeway club card, you are going to pay much less. This is what I paid for 91.

#Covid_19 
#CoronaOutbreak 
#coronapocalypse ? https://t.co/Syyi7XlU2D",Negative,california price drop use safeway club card go pay pay,0,0,0
986,45938,"Lagos, Nigeria",13-03-2020,"Corona strikes ...
Global market shaking ...
Oil prices drop...

@america @POTUS orders the purchase of crude oil to fill up their reserves .

Opportunist? 

#CoronaOutbreak #Covid_19 #FridayThe13th #COVID19 #FridayMotivation",Extremely Negative,corona strike global market shake oil price drop order purchase crude oil fill reserve opportunist,2,2,2
987,45939,fiji,13-03-2020,"Ensure to stock on food &amp; supplies, there's a possibility that the country may be shut down &amp; places into quarantine due to the COVID-19 
(those that live internationally, ie USA) 
Some schools have already been shit down due to virus scares and some who even contracted it.",Negative,ensure stock food supply there s possibility country shut place quarantine live internationally ie usa schools shit virus scare contract,2,2,2
988,45940,,13-03-2020,"News: avoid crowded areas
Society: 100 people jam packed in one grocery store

How is this helping the problem???  #Covid_19 #CoronaOutbreak",Negative,news avoid crowded area society people jam pack grocery store help problem,0,0,0
989,45941,Herts,13-03-2020,"Well done @premierleague for postponing all footy matches until April 3rd / April 4th due to the #coronavirus 

https://t.co/3orhGMdmXi

Stock markets at their lowest, public stock piling food, most sport cancelled, 208 new cases today in UK and I don't think we are at its worst.",Extremely Negative,postpone footy match april april stock market low public stock pile food sport cancel new case today uk do not think bad,2,2,2
990,45942,Philly,13-03-2020,My local grocery store #Covid_19 https://t.co/zhqnNZip93,Neutral,local grocery store,1,1,1
991,45943,,13-03-2020,"Me getting ready to go to work at a grocery store while this Coronavirus is boomin and people are being psycho 
 https://t.co/WYKsIGN0yo
#CoronaVirus #COVID2019 #lockdown #CoronaOutbreak",Positive,get ready work grocery store coronavirus boomin people psycho,0,0,0
992,45944,Bulgaria,13-03-2020,That's the line in front of the supermarket in my neighborhood.  They said they can let between 5 and 30 people inside at the same time #Sofia #Bulgaria #Covid_19 #CoronaOutbreak https://t.co/wd4Gp0BCtA,Neutral,that s line supermarket neighborhood say let people inside time,2,2,2
993,45945,????? ?????? ?????? ??? ??? ,13-03-2020,"and such attacks can seriously damage economy as well as consumer confidence. The later destructive activity is called agrobioterrorism and is subtype of agro-terrorism.
#Covid_19 
#COVID19 
? #???_?????_???

#CoronaFromUSA 
#?????_??_?????? https://t.co/bwnuBeXx7h",Extremely Negative,attack seriously damage economy consumer confidence later destructive activity call agrobioterrorism subtype agroterrorism,2,2,2
994,45946,bumilangit cinematic universe,13-03-2020,"These infographics help put things to perspective. Seriously, do not go out and buy shit in bulk and avoid Chinese food. Don't panic. #CoronavirusPandemic #Covid_19 https://t.co/vpnlAQ4NsU",Extremely Negative,infographic help thing perspective seriously not buy shit bulk avoid chinese food do not panic,2,2,2
995,45947,"Mother Base, Caribbean Sea",13-03-2020,the grocery store is out of toilet paper. i think people are freaking out and buying toilet paper because they are afraid of being quarantined. #Coronavirus #WuhanVirus #COVD19 #COVID19 #COVID_19 #CoronavirusPandemic https://t.co/9fzSGlcBf4,Negative,grocery store toilet paper think people freak buy toilet paper afraid quarantine,1,1,1
996,45948,"Chicago, IL - USA",13-03-2020,"DONT FORGET TO BE POLITE TO OTHERS, ESPECIALLY THE PEOPLE WORKING AT THE GROCERY STORE RIGHT NOW! THEYRE WORKING THEIR ASSES OFF! #QuarantineAndChill #StateOfEmergency #Covid_19 #lockdown #NationalEmergency #CoronaOutbreak #FridayThoughts",Positive,do not forget polite especially people work grocery store right they re work ass,2,2,2
997,45949,,13-03-2020,Wow now the time has come here too kindergartens amp schools are closed from Monday to April 20th because of Corona So we re not far from Italy s situation anymore I m going to do a lot of stock shopping today canned food frozen food drinks toilet paper,Positive,wow time come kindergarten amp school close monday april corona not far italy situation anymore go lot stock shopping today can food freeze food drink toilet paper,0,0,0
998,45950,,13-03-2020,"#Coronavirus: nieuw woord geleerd ""statistieken stalkers""

https://t.co/fLamEBSjwr

?[statistics] stalkers also agreed more than non-stalkers did with the statement that it was important to stock up on water, food and toilet paper to prepare for a virus outbreak",Positive,nieuw woord geleerd statistieken stalker statistic stalker agree nonstalker statement important stock water food toilet paper prepare virus outbreak,0,0,0
999,45951,,13-03-2020,"Wow, even expensive meat is gone. Supermarket packed. Disifectant is all gone. #Covid_19 https://t.co/6SBJS852GN",Positive,wow expensive meat go supermarket pack disifectant go,1,1,1
1000,45952,"Houston, TX",13-03-2020,"I'm still trying to figure out why people are going nuts buying half the grocery store out.

I went my local Kroger

Bread, gone
Water, gone
Eggs, gone
TP, gone
Plus many more...

MSM has ppl scared out of their mind over #Covid_19  and hoarding groceries.

This is UNREAL!",Extremely Negative,I m try figure people go nuts buy half grocery store go local kroger bread go water go egg go tp go plus msm ppl scared mind hoarding grocery unreal,2,2,2
1001,45953, ,13-03-2020,Can someone explain why the gas prices so low? With everything going #Covid_19 #CoronaOutbreak,Negative,explain gas price low go,2,2,2
1002,45954,,13-03-2020,"You can tell this episode of Here's Lucy is from a long time ago...because the grocery store they went to is fully stocked, ha!
Interesting timing to have it airing while our supermarkets have empty shelves!? 
#LosAngeles #California #emergencypreparedness #Covid_19 #coronavirus https://t.co/6AeporFXqm",Positive,tell episode here lucy long time agobecause grocery store go fully stock ha interesting timing air supermarket shelf,0,0,0
1003,45955,"North East, USA",13-03-2020,Call your Rep amp Senators today amp demand they pass the bill It contains Free testing 14 days paid sick leave 3 months paid family leave Expanded unemployment insurance amp food security Medicaid funds Lives are on the line 202 224 3121,Negative,rep amp senator today amp demand pass bill contain free testing day pay sick leave month pay family leave expand unemployment insurance amp food security medicaid fund live line,0,0,0
1004,45956,Kansas,13-03-2020,"I coughed at the grocery store tonight. This dude looked like he wanted to stab me! Like chill bro, I got allergies! I swear ?? #Covid_19 #coronavirus #allergies",Neutral,coughed grocery store tonight dude look like want stab like chill bro get allergy swear,0,0,0
1005,45957,"Atlanta, GA",13-03-2020,Someone else said this Being able to stock up on food is a privilege Having sick leave is an American privilege WFH is an American privilege If you have these privileges do what you can to help others who don t We in this together  ,Extremely Positive,say able stock food privilege have sick leave american privilege wfh american privilege privilege help don,0,0,0
1006,45958,"North Andover, MA",13-03-2020,"So someone please explain to me why we are encouraging people to stay in their houses and avoid public places and then shaming them WHEN THEY STOCK UP OF FOOD AND WATER TO STAY HOME! 
#Covid_19",Positive,explain encourage people stay house avoid public place shame stock food water stay home,2,2,2
1007,45959,"Norwich, England",13-03-2020,"I think #Covid_19 has shown the UKs true colours. 
Everyone hates everyone and theyre all out for themselves, so selfish and typically British..only have to look at supermarket shelves for proof #BeKind 
Done with this planet, let me off NOW ?? https://t.co/dLbkThle3a",Extremely Negative,think show uks true colour hate selfish typically britishonly look supermarket shelf proof planet let,2,2,2
1008,45960,"San Antonio, TX",13-03-2020,"News: Grocery stores cant keep food on the shelves.

Mom: Should we stock up on food? 
Me: Na, Ill just buy yall some beans and rice.

Arrive at @HEB - shelves empty ? sees 2 bags of rice ?

Mom: Nice they had rice, wheres the beans. 
Me: Um, so what happened was
#Covid_19 https://t.co/4idqoTHxcL",Positive,news grocery store food shelf mom stock food na ll buy bean rice arrive shelf see bag rice mom nice rice bean um happen,2,2,2
1009,45961,free $bat 4 surfing the web,13-03-2020,"Wake-up call for the consumer society! I believe this is natures way of slapping us in the face. Wealth has to be divided equally across the globe. The infrastructure is here already (internet). To turn things around and manage this we have #DLT #Blockchain #bitcoin 
#Covid_19",Positive,wakeup consumer society believe nature way slap face wealth divide equally globe infrastructure internet turn thing manage,0,0,0
1010,45962,World,13-03-2020,"I'm sending love to doctors, nurses and supermarket employees across the world ? 

Together, all across the World we can beat this Virus!

#bitcoin #Covid_19 #covid19Nederland #COVID2019NL https://t.co/qxOUOsBIZQ",Extremely Positive,I m send love doctor nurse supermarket employee world world beat virus,0,0,0
1011,45963,Planet Earth,13-03-2020,"Ok, now this shit is gettin way outta hand! ??? #CostcoPanicBuying 
#coronapocalypse https://t.co/TR71hl0VUH",Positive,ok shit gettin way outta hand,0,0,0
1012,45964,everywhere,13-03-2020,"the supermarket shelves in NYC. Loo roll hoarding is not just an Aussie thing! 

#aupol #coronavirus #Covid_19 https://t.co/hScuxnBgoG",Neutral,supermarket shelf nyc loo roll hoarding not aussie thing,2,2,2
1013,45965,"Texas, USA",13-03-2020,Omg I am in line just to get food!! I am back in Nicaragua ??thank you Democrats for promoting panic!!#coronapocalypse #Covid_19 https://t.co/L21eBcjIE9,Positive,omg line food nicaragua thank democrats promote panic,2,2,2
1014,45966,Toronto,13-03-2020,So I was just on the Costco app and you know what they have toilet paper that they will deliver to your door in 2 days at fully normal prices......go figure????? #Covid_19 #Hoarding,Neutral,costco app know toilet paper deliver door day fully normal pricesgo figure,0,0,0
1015,45967,Chillin' on a dirt road,13-03-2020,The grocery store is out of control. #Covid_19,Neutral,grocery store control,1,1,1
1016,45968,"Sugar Land,TX",13-03-2020,"@totemranch613 @sohos1963 This=as bad for the ?as the Paris Accord:IT'S  PLAIN TO SEE THAT GLOBALISTS ARE PUSHING EVERYWHERE W/THEIR AGENDA OF?DOMINATION:THEY?THEIR MOMENT IS NOW,WITH ?MARKETS VOLATILE D/T CHINA'S COVID-19 SPREAD+ENSUING PANIC,AN ELECTION",Extremely Negative,thisas bad paris accordit plain globalist push wtheir agenda ofdominationtheytheir moment nowwith market volatile dt china spreadensue panican election,2,2,2
1017,45969,,13-03-2020,"Breaking!

CCP army arrested citizens after protests against high food prices in #Wuhan #China

#COVID2019 #WuhanCoronavirus #COVID19 #coronavirus coronavirus https://t.co/BCLqB8MZXy",Extremely Negative,break ccp army arrest citizen protest high food price coronavirus,2,2,2
1018,45970,Limousin,13-03-2020,"I don't usually do that kind of tweet, but I would like to tell you guys how things went in my small place in France because of that #Covid_19. And trust me, I never... ever saw that in my entire life. Even some colleagues at the supermarket who are here for over 10 years...",Extremely Positive,do not usually kind tweet like tell guy thing go small place france trust see entire life colleague supermarket year,0,0,0
1019,45971,"Global (U.S, Europe, Africa)",13-03-2020,"The news networks were disallowed from issuing proper warnings about coronavirus in order to save the stock prices of the corporations who own them.

The many deaths that will occur as a result of this deception are a sacrifice they willingly made.  #Covid_19 https://t.co/uv6SvlcWHT",Negative,news network disallow issue proper warning coronavirus order save stock price corporation death occur result deception sacrifice willingly,0,0,0
1020,45972,"Riverton, UT",13-03-2020,"Happy to report that I jumped on the panic shopping band wagon weeks ago and stocked up on the essentials, which really only consisted of dog food so my baby doesnt go hungry. #Priorities #Covid_19 #coronapocalypse https://t.co/I8ncKCuypo",Positive,happy report jump panic shopping band wagon week ago stock essential consist dog food baby doesn hungry,0,0,0
1021,45973,Northern Ireland,13-03-2020,"Judging by the supermarket shelves, the 'be kind' has been replaced with 'fuck you'. 

#Covid_19 
#coronavirus 
#panicbuying",Neutral,judge supermarket shelf kind replace fuck,2,2,2
1022,45974,"England, United Kingdom",13-03-2020,"In these difficult times please consider donating to your local #FoodbankFriday
@CAFODWestmin @CAFODSouthwark
As panic buys are causing a lot of shortages.

https://t.co/O6ROyXLChZ
Our Lady of Fatima, pray for us.
#Covid_19 #Lent2020",Negative,difficult time consider donate local panic buy cause lot shortage lady fatima pray,2,2,2
1023,45975,"North Dakota, USA",13-03-2020,"It makes me sad to think about all the food that will go to waste after the dust settles around #Covid_19 and people start throwing out the food they panic-bought. 

Please use everything you purchase. Not everyone is as lucky as you to be able to buy ahead.",Extremely Negative,make sad think food waste dust settle people start throw food panicbought use purchase not lucky able buy ahead,2,2,2
1024,45976,"Providence, Rhode Island",13-03-2020,I ve never seen it so crowded It was crazy in there  Shopper at Stop amp Shop As more and more people prepare to stay home to slow the spread of stores amp online shopping services have been much busier than usual,Negative,ve see crowd crazy shopper stop amp shop people prepare stay home slow spread store amp online shopping service busier usual,2,2,2
1025,45977,,13-03-2020,While others are able to work from home retail workers are the last ones standing during this pandemic Do you know if your store is taking the necessary measures to protect you and your community,Positive,able work home retail worker one stand pandemic know store take necessary measure protect community,0,0,0
1026,45978,,13-03-2020,"People rushing to stock up of Food, Water, Vitamins C &amp; D plus Zinc to protect against covid-19 before all cities on the globe are LOCKED DOWN. Don't trust the W.H.O.
https://t.co/6jrXMMOGf4 
coronavirus paramedic animalcrossing switch raptors canucks oiler novascotia pei eos ny https://t.co/p3aRXsRNqo",Extremely Positive,people rush stock food water vitamin plus zinc protect city globe lock do not trust coronavirus paramedic animalcrosse switch raptor canuck oiler novascotia pei eos ny,0,0,0
